@relation twit_classification

@attribute 1st_person_pro numeric
@attribute 2nd_person_pro numeric
@attribute 3rd_person_pro numeric
@attribute coord_conj numeric
@attribute past_verb numeric
@attribute future_tense numeric
@attribute comma numeric
@attribute colon numeric
@attribute dash numeric
@attribute parenthese numeric
@attribute ellipse numeric
@attribute common_noun numeric
@attribute proper_noun numeric
@attribute adverb numeric
@attribute wh_word numeric
@attribute slang numeric
@attribute all_upper_word numeric
@attribute avg_sent_len numeric
@attribute avg_token_len numeric
@attribute num_of_sent numeric
@attribute twit {Barack-Obama,Stephen-Colbert,Ashton-Kutcher,Kim-Kardashian,Neil-Tyson,Shakira}

@data
1,0,0,2,1,0,0,1,0,0,0,3,0,2,0,0,0,11.500000,3.640000,2,Barack-Obama
1,0,0,1,0,0,0,0,1,0,0,10,1,0,0,0,1,11.500000,3.875000,2,Barack-Obama
0,0,0,0,1,0,1,1,0,0,0,5,5,0,1,0,0,20.000000,3.739130,1,Barack-Obama
0,0,0,0,0,0,0,0,1,0,0,7,2,0,0,0,0,17.000000,5.222222,1,Barack-Obama
0,0,0,1,0,0,1,1,0,0,0,9,4,0,0,0,1,21.000000,3.500000,1,Barack-Obama
0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,11.000000,3.923077,1,Barack-Obama
0,0,0,0,0,0,2,1,0,0,0,5,3,0,0,0,0,14.000000,3.666667,1,Barack-Obama
1,0,0,0,0,0,1,0,0,0,0,4,1,1,0,0,0,19.000000,4.238095,1,Barack-Obama
0,0,0,1,0,0,1,0,0,0,0,6,4,0,0,0,0,8.000000,3.611111,2,Barack-Obama
0,0,0,0,1,0,0,2,0,0,0,2,7,0,0,0,0,17.000000,4.526316,1,Barack-Obama
0,1,0,1,0,0,1,0,0,0,0,5,2,0,0,0,0,15.000000,4.333333,1,Barack-Obama
1,1,1,0,1,0,0,1,0,0,0,2,0,1,0,0,0,6.000000,3.384615,2,Barack-Obama
0,0,0,0,0,0,1,1,0,0,0,6,5,0,0,0,1,19.000000,4.142857,1,Barack-Obama
0,0,0,0,1,0,1,1,0,0,0,7,2,0,1,0,0,17.000000,3.750000,1,Barack-Obama
0,0,1,0,0,0,0,1,0,0,0,2,2,0,0,0,0,11.000000,3.769231,1,Barack-Obama
0,0,2,0,0,0,0,1,0,0,0,4,5,0,0,0,0,7.000000,4.800000,2,Barack-Obama
0,0,0,0,0,0,0,2,0,0,0,4,6,0,0,0,2,9.000000,3.200000,2,Barack-Obama
0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,11.000000,4.416667,1,Barack-Obama
1,0,0,2,0,0,3,0,2,0,0,8,1,0,0,0,0,25.000000,3.172414,1,Barack-Obama
1,0,1,0,0,0,1,0,0,0,0,1,3,1,0,0,1,6.500000,2.562500,2,Barack-Obama
0,2,0,0,0,0,0,1,0,0,0,5,3,0,0,0,1,7.333333,3.333333,3,Barack-Obama
0,1,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,15.000000,4.000000,1,Barack-Obama
0,1,0,0,0,0,1,0,0,0,0,5,0,2,0,1,0,8.000000,3.166667,2,Barack-Obama
0,0,0,1,0,1,1,1,0,0,0,4,3,1,0,0,0,13.000000,3.933333,1,Barack-Obama
0,1,0,0,0,1,1,1,0,0,0,5,4,0,0,0,2,10.000000,3.304348,2,Barack-Obama
0,3,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,8.500000,3.631579,2,Barack-Obama
0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,10.000000,4.833333,1,Barack-Obama
0,1,0,0,0,0,0,1,0,0,0,2,1,2,0,0,0,21.000000,4.454545,1,Barack-Obama
1,0,1,1,0,0,0,1,0,0,0,5,3,0,0,0,1,7.500000,3.947368,2,Barack-Obama
2,0,0,0,1,1,3,1,0,0,0,8,2,0,0,0,0,25.000000,3.031250,1,Barack-Obama
0,0,0,1,0,0,0,0,1,0,0,4,4,1,0,0,0,19.000000,4.050000,1,Barack-Obama
0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,8.000000,4.888889,2,Barack-Obama
