@relation twit_classification

@attribute 1st_person_pro numeric
@attribute 2nd_person_pro numeric
@attribute 3rd_person_pro numeric
@attribute coord_conj numeric
@attribute past_verb numeric
@attribute future_tense numeric
@attribute comma numeric
@attribute colon numeric
@attribute dash numeric
@attribute parenthese numeric
@attribute ellipse numeric
@attribute common_noun numeric
@attribute proper_noun numeric
@attribute adverb numeric
@attribute wh_word numeric
@attribute slang numeric
@attribute all_upper_word numeric
@attribute avg_sent_len numeric
@attribute avg_token_len numeric
@attribute num_of_sent numeric
@attribute twit {CBC,CNN,Toronto-Star,Reuters,New-York-Times,The-Onion}

@data
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,8.000000,4.250000,1,CBC
0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,8.000000,5.500000,1,CBC
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9.000000,4.100000,1,CBC
0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,8.000000,3.500000,1,CBC
0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,9.000000,4.400000,1,CBC
0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,1,10.000000,4.416667,1,CBC
0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,8.500000,4.764706,2,CBC
0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,7.000000,4.111111,1,CBC
0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,10.000000,4.100000,1,CBC
0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,6.000000,4.000000,1,CBC
0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,5.000000,6.800000,1,CBC
1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,9.000000,3.250000,1,CBC
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,7.000000,3.125000,1,CBC
0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,7.000000,6.142857,1,CBC
0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,11.000000,4.090909,1,CBC
0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,9.000000,3.900000,1,CBC
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,10.000000,3.250000,1,CBC
0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,7.000000,4.428571,1,CBC
0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,1,7.000000,4.714286,1,CBC
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,8.000000,5.125000,1,CBC
0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,9.000000,5.000000,1,CBC
0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,1,9.000000,4.777778,1,CBC
0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,6.000000,4.625000,1,CBC
0,0,0,0,0,0,0,2,0,0,0,5,2,0,0,0,0,9.000000,2.214286,1,CBC
