@relation twit_classification

@attribute 1st_person_pro numeric
@attribute 2nd_person_pro numeric
@attribute 3rd_person_pro numeric
@attribute coord_conj numeric
@attribute past_verb numeric
@attribute future_tense numeric
@attribute comma numeric
@attribute colon numeric
@attribute dash numeric
@attribute parenthese numeric
@attribute ellipse numeric
@attribute common_noun numeric
@attribute proper_noun numeric
@attribute adverb numeric
@attribute wh_word numeric
@attribute slang numeric
@attribute all_upper_word numeric
@attribute avg_sent_len numeric
@attribute avg_token_len numeric
@attribute num_of_sent numeric
@attribute twit {pop-stars,news-feed}

@data
1,2,0,0,1,0,0,0,1,0,0,3,1,4,0,1,1,6.500000,3.592593,4,pop-stars
0,1,0,1,0,0,0,0,0,0,0,4,2,1,0,0,1,9.500000,3.714286,2,pop-stars
0,0,2,1,0,0,0,0,1,0,0,3,1,1,0,0,0,7.000000,4.357143,2,pop-stars
0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,1,5.666667,3.277778,3,pop-stars
0,0,0,2,2,0,0,0,1,0,0,7,3,2,0,1,1,9.333333,3.366667,3,pop-stars
1,2,0,0,0,1,3,1,1,0,0,5,3,5,0,1,1,27.000000,2.968750,1,pop-stars
1,2,1,2,1,0,2,1,1,0,0,7,1,2,0,2,1,14.500000,2.906250,2,pop-stars
0,0,0,0,0,0,1,0,0,2,0,3,4,0,0,0,0,12.000000,3.375000,1,pop-stars
0,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0,15.000000,4.562500,1,pop-stars
0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,6.500000,3.214286,2,pop-stars
1,2,0,0,0,1,1,1,1,0,0,7,2,3,0,2,1,9.000000,2.812500,3,pop-stars
0,0,1,0,1,0,0,0,1,0,0,7,4,1,0,1,1,5.000000,3.318182,4,pop-stars
1,3,0,0,0,0,0,0,1,0,0,7,3,1,0,0,8,10.500000,3.304348,2,pop-stars
0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,7.000000,4.142857,2,pop-stars
1,1,0,0,1,0,0,2,2,1,0,6,1,0,1,0,1,22.000000,3.115385,1,pop-stars
0,5,0,0,1,0,1,0,2,0,0,5,4,1,0,2,1,5.500000,2.680000,4,pop-stars
