@relation twit_classification

@attribute 1st_person_pro numeric
@attribute 2nd_person_pro numeric
@attribute 3rd_person_pro numeric
@attribute coord_conj numeric
@attribute past_verb numeric
@attribute future_tense numeric
@attribute comma numeric
@attribute colon numeric
@attribute dash numeric
@attribute parenthese numeric
@attribute ellipse numeric
@attribute common_noun numeric
@attribute proper_noun numeric
@attribute adverb numeric
@attribute wh_word numeric
@attribute slang numeric
@attribute all_upper_word numeric
@attribute avg_sent_len numeric
@attribute avg_token_len numeric
@attribute num_of_sent numeric
@attribute twit {Britney-Spears,Justin-Bieber,Katy-Perry,Lady-Gaga,Rihanna,Taylor-Swift}

@data
0,0,1,0,0,0,0,0,1,0,0,5,1,0,0,0,1,8.000000,3.941176,2,Britney-Spears
0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,6.500000,3.000000,2,Britney-Spears
0,0,0,0,0,0,0,0,1,0,0,3,1,2,0,0,0,6.333333,3.750000,3,Britney-Spears
0,0,0,0,0,0,1,0,0,2,0,4,4,0,0,0,1,13.000000,2.764706,1,Britney-Spears
0,0,0,0,0,0,2,1,1,0,0,4,3,0,0,0,0,10.000000,3.538462,1,Britney-Spears
0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,6.000000,2.285714,1,Britney-Spears
0,0,1,1,0,0,1,0,1,0,0,8,4,0,0,0,2,26.000000,3.433333,1,Britney-Spears
3,2,0,0,0,0,0,0,3,0,0,4,0,1,1,0,0,13.500000,2.857143,2,Britney-Spears
0,4,0,1,0,0,0,0,1,0,0,4,3,2,0,3,4,5.200000,2.962963,5,Britney-Spears
2,0,1,0,0,0,1,0,0,0,0,6,2,0,1,0,0,8.333333,3.413793,3,Britney-Spears
0,1,0,0,0,0,0,1,0,0,0,3,3,0,0,1,0,10.000000,3.166667,1,Britney-Spears
2,0,0,1,2,0,3,1,0,0,0,5,2,1,0,0,1,22.000000,3.666667,1,Britney-Spears
0,0,0,0,0,0,0,1,1,0,0,4,3,1,0,0,1,16.000000,4.444444,1,Britney-Spears
0,0,0,2,2,0,3,0,1,0,1,6,9,0,0,0,0,8.000000,3.535714,3,Britney-Spears
1,2,1,0,1,0,0,0,0,0,0,5,1,1,0,0,3,16.000000,3.500000,1,Britney-Spears
0,1,0,0,1,0,0,0,1,0,0,6,3,2,0,1,3,8.500000,3.368421,2,Britney-Spears
0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,5.000000,2.857143,1,Britney-Spears
0,0,0,0,0,0,1,0,1,2,0,4,3,0,0,0,1,13.000000,2.823529,1,Britney-Spears
1,4,0,0,0,0,0,0,1,0,0,8,3,2,0,1,15,8.666667,3.296296,3,Britney-Spears
1,1,0,0,0,0,0,0,1,0,0,4,3,1,0,0,1,8.000000,4.529412,2,Britney-Spears
1,3,2,1,3,0,0,1,1,0,0,3,3,3,0,3,4,9.333333,3.033333,3,Britney-Spears
1,0,0,1,1,0,0,0,1,0,0,7,1,2,0,0,1,13.500000,3.222222,2,Britney-Spears
0,0,0,0,2,0,0,0,1,0,0,5,0,1,0,1,0,8.500000,3.055556,2,Britney-Spears
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2.000000,2.750000,1,Britney-Spears
0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,11.500000,4.208333,2,Britney-Spears
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,4.000000,3.800000,1,Britney-Spears
1,4,0,0,1,0,0,0,1,0,0,6,4,2,0,2,4,8.666667,3.222222,3,Britney-Spears
1,1,0,0,0,0,0,1,1,0,0,10,1,2,0,2,11,6.333333,2.818182,3,Britney-Spears
0,0,0,0,1,0,0,1,0,1,0,2,2,1,0,0,0,14.000000,2.947368,1,Britney-Spears
2,1,1,1,0,0,0,0,1,2,0,6,1,0,1,0,0,20.000000,3.166667,1,Britney-Spears
2,3,0,0,3,1,0,0,1,0,0,8,2,1,0,4,6,9.666667,2.687500,3,Britney-Spears
0,0,0,0,0,0,0,0,1,2,0,7,3,0,1,0,2,23.000000,3.785714,1,Britney-Spears
0,0,0,1,2,0,0,0,1,0,0,4,0,0,0,0,0,8.000000,3.470588,2,Britney-Spears
1,1,0,1,0,0,1,0,1,0,0,4,1,0,0,0,0,12.000000,3.307692,2,Britney-Spears
0,0,0,0,0,0,1,0,0,0,0,8,1,0,0,0,0,11.000000,3.750000,2,Britney-Spears
1,0,0,0,0,0,1,0,1,0,0,1,3,2,0,0,0,7.500000,3.666667,2,Britney-Spears
0,1,0,0,0,0,0,0,1,0,0,6,1,1,0,0,4,7.333333,3.166667,3,Britney-Spears
2,0,0,2,2,0,0,0,1,0,0,6,1,4,0,0,0,9.333333,3.310345,3,Britney-Spears
1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,8.500000,4.111111,2,Britney-Spears
0,2,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,14.000000,3.705882,1,Britney-Spears
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.000000,3.250000,1,Britney-Spears
0,2,1,0,0,0,1,0,1,0,0,2,0,1,0,0,0,9.000000,3.095238,2,Britney-Spears
0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,5.000000,3.363636,2,Britney-Spears
0,0,1,0,0,0,1,0,1,0,0,3,0,1,0,0,1,14.000000,3.333333,1,Britney-Spears
1,0,0,2,1,0,1,2,1,1,0,5,2,3,0,2,2,10.000000,2.680000,2,Britney-Spears
1,2,0,2,2,0,0,0,1,0,0,5,5,1,0,1,1,8.000000,3.192308,3,Britney-Spears
0,0,0,0,0,0,2,1,1,0,0,3,4,0,0,0,0,10.000000,3.384615,1,Britney-Spears
0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,6.000000,3.250000,1,Britney-Spears
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4.500000,4.222222,2,Britney-Spears
0,0,1,0,3,0,0,1,1,0,0,4,2,0,0,0,1,5.333333,3.105263,3,Britney-Spears
0,0,0,0,1,0,1,0,1,0,0,9,0,0,0,0,0,21.000000,3.320000,1,Britney-Spears
0,0,1,1,0,0,2,0,1,0,0,8,1,0,0,0,0,18.000000,3.739130,1,Britney-Spears
0,1,1,0,0,0,0,0,1,0,0,4,1,1,0,0,0,7.666667,3.666667,3,Britney-Spears
0,1,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,8.000000,3.588235,2,Britney-Spears
1,0,0,0,0,0,0,0,1,0,1,3,0,3,0,1,2,8.500000,3.888889,2,Britney-Spears
0,2,0,0,1,0,0,1,1,0,0,8,3,1,0,3,1,8.333333,3.384615,3,Britney-Spears
1,1,0,0,0,1,0,0,1,0,0,6,0,1,0,0,1,11.500000,3.541667,2,Britney-Spears
1,0,0,2,1,0,0,0,1,0,0,4,3,2,0,1,0,13.500000,3.620690,2,Britney-Spears
1,1,0,0,0,0,1,0,0,2,0,4,0,1,0,1,0,13.000000,2.500000,1,Britney-Spears
1,0,3,0,0,0,0,0,1,0,1,5,0,0,0,0,0,9.500000,3.000000,2,Britney-Spears
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,6.000000,4.000000,1,Britney-Spears
0,0,0,0,1,0,0,0,1,0,0,6,6,1,0,1,5,5.600000,2.827586,5,Britney-Spears
0,0,0,0,0,0,1,1,1,0,0,4,3,0,0,0,0,16.000000,3.250000,1,Britney-Spears
2,0,0,0,1,0,1,0,0,0,0,3,1,2,0,0,0,10.500000,2.913043,2,Britney-Spears
0,0,0,0,0,0,0,0,1,0,0,5,2,1,0,0,0,11.000000,3.565217,2,Britney-Spears
2,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,1,8.000000,3.176471,2,Britney-Spears
0,0,0,0,0,0,0,0,0,0,2,3,2,2,0,0,0,10.000000,3.478261,2,Britney-Spears
0,0,0,0,0,0,0,1,1,0,0,7,7,1,0,0,2,11.500000,3.107143,2,Britney-Spears
0,3,0,0,0,0,0,1,1,0,0,10,2,1,0,2,2,5.666667,2.736842,3,Britney-Spears
